UserID,Gender,Age,Race,Province,Channel2,RecordDate2,Duration 2
809362,male,36,black,Gauteng,Africa Magic,2016/02/14 13:50,2025-09-24T00:03:44.000Z
869328,female,42,indian_asian,Gauteng,Cartoon Network,2016/02/24 15:59,2025-09-24T00:01:01.000Z
869328,female,42,indian_asian,Gauteng,Cartoon Network,2016/03/04 16:11,2025-09-24T00:00:36.000Z
869328,female,42,indian_asian,Gauteng,SuperSport Blitz,2016/03/19 15:16,2025-09-24T00:03:52.000Z
789064,female,27,coloured,Western Cape,Trace TV,2016/02/14 14:24,2025-09-24T00:02:18.000Z
789064,female,27,coloured,Western Cape,Supersport Live Events,2016/02/01 06:27,2025-09-24T00:03:00.000Z
809382,male,24,black,Gauteng,Africa Magic,2016/02/20 20:15,2025-09-24T00:14:31.000Z
809382,male,24,black,Gauteng,CNN,2016/02/28 17:27,2025-09-24T00:04:38.000Z
786452,male,28,white,Gauteng,Supersport Live Events,2016/03/11 16:50,2025-09-24T00:01:22.000Z
786452,male,28,white,Gauteng,Boomerang,2016/02/28 23:09,2025-09-24T00:20:51.000Z
940108,male,22,black,Mpumalanga,Trace TV,2016/03/30 16:31,2025-09-24T00:00:27.000Z
940108,male,22,black,Mpumalanga,ICC Cricket World Cup 2011,2016/03/26 15:39,2025-09-24T00:03:14.000Z
940108,male,22,black,Mpumalanga,Cartoon Network,2016/03/29 06:47,2025-09-24T00:00:00.000Z
809398,male,37,black,Western Cape,Supersport Live Events,2016/01/05 20:27,2025-09-24T00:26:06.000Z
886109,male,31,indian_asian,Eastern Cape,ICC Cricket World Cup 2011,2016/03/20 10:10,2025-09-24T00:02:36.000Z
855864,female,26,coloured,Kwazulu Natal,SawSee,2016/03/27 09:33,2025-09-24T00:00:38.000Z
797707,male,41,white,North West,Supersport Live Events,2016/02/17 15:41,2025-09-24T00:02:04.000Z
809448,male,20,coloured,Western Cape,Cartoon Network,2016/02/19 13:35,2025-09-24T00:02:46.000Z
809448,male,20,coloured,Western Cape,Supersport Live Events,2016/03/05 18:49,2025-09-24T00:04:44.000Z
919677,female,26,white,Gauteng,Boomerang,2016/03/27 19:16,2025-09-24T00:00:16.000Z
820978,male,39,black,Northern Cape,Cartoon Network,2016/02/26 06:06,2025-09-24T00:01:06.000Z
